Global Statistics
Total number of particles:,5501
Surface Coverage (%):,34.37
Total grain area (µm²):,133844.25
Mean grain area (µm²):,24.33
Particle density (particles/µm²):,0.014128

Size Distribution Statistics
Mean area (µm²):,24.33
Median area (µm²):,20.25
Standard deviation of area (µm²):,15.81
Mean perimeter (µm):,19.93
Median perimeter (µm):,17.81
Standard deviation of perimeter (µm):,8.77

Individual Grain Measurements
Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter
1,132.25,25.95,-74.29,45.92,23.6,74.39
2,128.5,25.58,79.14,38.89,22.15,61.27
3,123.25,25.05,55.24,45.31,20.26,69.75
4,122.75,25.0,46.92,51.39,19.22,71.13
5,119.25,24.64,-86.51,54.56,17.15,74.53
6,118.5,24.57,-8.71,29.09,24.09,52.82
7,118.0,24.51,12.5,59.67,13.44,72.67
8,113.0,23.99,54.48,49.06,18.27,70.08
9,113.0,23.99,-72.83,43.65,21.22,71.98
10,111.5,23.83,-68.44,42.97,17.1,62.46
11,108.25,23.48,-42.68,50.08,17.68,71.05
12,107.75,23.43,-8.59,34.51,19.98,57.68
13,107.0,23.34,-86.43,39.51,24.46,69.0
14,106.5,23.29,50.84,43.03,18.41,66.25
15,105.75,23.21,72.68,42.46,15.29,59.77
16,103.5,22.96,70.7,40.51,18.13,65.05
17,101.75,22.76,-25.01,50.71,13.6,62.39
18,101.25,22.71,67.06,49.73,11.87,62.89
19,100.75,22.65,-33.96,43.13,13.27,60.46
20,100.5,22.62,86.87,37.28,17.54,54.53
21,100.25,22.6,73.48,41.74,18.42,59.48
22,98.75,22.43,18.99,36.16,17.62,57.86
23,95.75,22.08,-30.24,40.46,19.1,60.49
24,94.0,21.88,7.95,33.13,17.42,47.7
25,93.75,21.85,88.06,35.25,18.39,53.25
26,93.75,21.85,-1.74,42.55,14.08,55.48
27,93.5,21.82,22.97,35.69,22.33,60.89
28,93.0,21.76,84.1,43.81,15.39,57.44
29,92.75,21.73,71.56,31.41,19.0,52.06
30,92.0,21.65,-33.61,49.87,13.64,62.43
31,90.5,21.47,-29.79,34.57,17.33,56.68
32,90.0,21.41,38.32,33.74,18.22,52.73
33,89.25,21.32,-65.82,39.53,18.25,58.81
34,89.0,21.29,30.89,41.49,13.65,53.01
35,88.5,21.23,-24.86,37.84,14.58,53.86
36,88.25,21.2,-30.05,49.73,11.63,62.63
37,88.0,21.17,68.39,29.08,16.78,44.2
38,87.75,21.14,-67.5,39.27,13.11,53.27
39,86.75,21.02,-10.8,31.61,19.04,52.73
40,86.75,21.02,82.09,43.94,11.81,51.91
41,86.5,20.99,-29.29,38.78,13.71,51.09
42,86.25,20.96,-84.51,37.1,13.36,49.61
43,85.5,20.87,-5.5,36.5,17.26,56.86
44,85.25,20.84,-4.23,28.58,16.7,42.16
45,85.25,20.84,-3.42,31.67,16.23,47.94
46,84.5,20.74,-17.04,33.67,18.52,55.94
47,84.5,20.74,-45.95,35.71,17.11,55.32
48,84.25,20.71,-80.86,26.73,19.06,44.99
49,83.5,20.62,82.18,40.02,12.05,49.11
50,83.0,20.56,64.62,36.65,17.04,54.86
51,82.75,20.53,-67.8,38.81,15.05,55.06
52,82.5,20.5,-33.77,37.13,13.61,50.41
53,82.0,20.44,73.39,36.38,16.92,54.44
54,81.5,20.37,9.86,36.81,17.17,57.98
55,81.25,20.34,-31.85,32.7,16.91,50.23
56,81.0,20.31,-51.81,38.28,12.9,47.08
57,80.5,20.25,15.6,37.34,13.35,50.65
58,80.25,20.22,-27.17,24.98,20.74,45.82
59,80.25,20.22,13.94,35.73,15.27,49.82
60,80.25,20.22,-50.41,34.97,14.24,47.03
61,80.0,20.19,-9.73,34.25,15.76,50.59
62,79.25,20.09,-61.14,31.84,15.04,47.23
63,79.0,20.06,-10.29,37.15,13.28,48.13
64,79.0,20.06,-19.62,35.04,14.02,48.56
65,78.5,19.99,0.52,33.47,14.18,48.34
66,78.5,19.99,52.59,36.67,13.45,48.41
67,78.25,19.96,73.96,32.6,18.55,53.32
68,78.25,19.96,-31.69,37.78,13.61,49.59
69,78.25,19.96,-29.29,32.84,15.66,51.56
70,77.5,19.87,-59.58,27.9,15.37,42.77
71,77.5,19.87,-28.43,29.17,16.05,43.99
72,77.0,19.8,5.86,42.32,10.61,52.61
73,76.75,19.77,-48.93,34.89,13.65,47.58
74,76.5,19.74,60.11,33.57,14.3,49.2
75,76.25,19.71,-66.29,24.1,17.67,38.04
76,76.0,19.67,-45.49,36.32,13.54,50.72
77,76.0,19.67,-74.02,40.84,11.67,48.11
78,76.0,19.67,-30.13,28.8,15.68,42.16
79,75.75,19.64,26.67,27.53,15.78,40.87
80,75.75,19.64,5.25,38.45,11.86,48.82
81,75.5,19.61,54.15,29.71,17.0,44.46
82,75.5,19.61,27.15,23.51,18.87,40.56
83,75.5,19.61,2.54,30.43,16.33,49.23
84,75.25,19.58,-57.59,30.88,17.56,47.44
85,75.25,19.58,-45.84,39.44,12.37,51.99
86,74.75,19.51,-16.95,35.94,15.82,50.28
87,74.75,19.51,2.32,34.22,15.83,50.34
88,74.5,19.48,78.51,34.13,14.82,49.65
89,74.25,19.45,-70.05,32.22,17.01,46.96
90,74.25,19.45,65.64,28.0,18.01,47.61
91,73.75,19.38,-69.41,43.18,11.47,54.65
92,73.0,19.28,21.98,30.66,14.95,43.41
93,72.5,19.22,-54.18,32.65,15.92,48.7
